Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,4.832805633544922,4.868817965861398,4.755980179379317,4.832805633544922,11368000,0.0,0.0
2015-01-05 00:00:00-05:00,4.832804469737999,4.847209582361968,4.729570576760525,4.751177787780762,19795200,0.0,0.0
2015-01-06 00:00:00-05:00,4.758381060899189,4.763182766292596,4.602329298940089,4.607131004333496,19776400,0.0,0.0
2015-01-07 00:00:00-05:00,4.640741431599222,4.681555006381745,4.5807214956199696,4.595126152038574,32180800,0.0,0.0
2015-01-08 00:00:00-05:00,4.64794404013642,4.796793226577247,4.645543187720823,4.767983913421631,28378000,0.0,0.0
2015-01-09 00:00:00-05:00,4.784789584819808,4.823202308941614,4.719967941145839,4.7871904373168945,20954000,0.0,0.0
2015-01-12 00:00:00-05:00,4.799193726047553,4.8015945782865845,4.683955566068453,4.727169990539551,19073200,0.0,0.0
2015-01-13 00:00:00-05:00,4.763182751514137,4.859214569505182,4.6863572971213,4.719968318939209,23672000,0.0,0.0
2015-01-14 00:00:00-05:00,4.669550064826585,4.753577588395399,4.657545805805569,4.73917293548584,15526000,0.0,0.0
2015-01-15 00:00:00-05:00,4.772784619914807,4.801594387724071,4.703161739408985,4.705562591552734,18893200,0.0,0.0
2015-01-16 00:00:00-05:00,4.698360284821957,4.796792938368374,4.683955629109634,4.791991233825684,18151200,0.0,0.0
2015-01-20 00:00:00-05:00,4.825603323919751,4.852011786445312,4.746377020511455,4.806396961212158,14030800,0.0,0.0
2015-01-21 00:00:00-05:00,4.779988117133993,4.885623342671244,4.746377096337701,4.873619079589844,14478000,0.0,0.0
2015-01-22 00:00:00-05:00,4.883222720652466,4.972051982070488,4.832805729161401,4.957647323608398,15971200,0.0,0.0
2015-01-23 00:00:00-05:00,4.962448668178983,4.981655030703617,4.921635090574658,4.972051620483398,12041600,0.0,0.0
2015-01-26 00:00:00-05:00,4.950444221496582,4.974451828102947,4.919233600243117,4.950444221496582,13324000,0.0,0.0
2015-01-27 00:00:00-05:00,4.873617678887233,4.878419382739759,4.703161313363707,4.712764263153076,35794800,0.0,0.0
2015-01-28 00:00:00-05:00,4.7703835993114785,4.789589956023854,4.633537792580674,4.63593864440918,27272800,0.0,0.0
2015-01-29 00:00:00-05:00,4.6383404717665275,4.775185849362782,4.61673325868125,4.748777389526367,23534000,0.0,0.0
2015-01-30 00:00:00-05:00,4.7151661633336035,4.770384854082254,4.602328845207862,4.609531402587891,29820000,0.0,0.0
2015-02-02 00:00:00-05:00,4.638340620014816,4.7295711799386915,4.547110518006717,4.710364818572998,25960400,0.0,0.0
2015-02-03 00:00:00-05:00,4.743974942823205,4.8328041756876425,4.719966881159737,4.8280029296875,18346800,0.0,0.0
2015-02-04 00:00:00-05:00,4.813598388394188,4.895225532974109,4.7991937328553025,4.840007305145264,18151600,0.0,0.0
2015-02-05 00:00:00-05:00,4.8448087384566385,4.921634174251612,4.840007034240523,4.919233322143555,14044800,0.0,0.0
2015-02-06 00:00:00-05:00,4.914431907825926,4.972050988071061,4.876019187662503,4.8976263999938965,21052400,0.0,0.0
2015-02-09 00:00:00-05:00,4.86881751786708,4.907230241415413,4.837606893786693,4.892825126647949,27394400,0.0,0.0
2015-02-10 00:00:00-05:00,4.8976256554920665,5.032070155626761,4.876018446445245,5.029669761657715,22620400,0.0,0.0
2015-02-11 00:00:00-05:00,5.041675660351885,5.041675660351885,4.96244934686299,4.996060371398926,32083200,0.0,0.0
2015-02-12 00:00:00-05:00,5.281753677975562,5.401793534293189,5.250543516815893,5.3537774085998535,67690400,0.0,0.0
2015-02-13 00:00:00-05:00,5.341774104642569,5.36338131742944,5.260146958095669,5.3561787605285645,31008400,0.0,0.0
2015-02-17 00:00:00-05:00,5.346573102208542,5.399390452325632,5.3129616449381,5.372981548309326,20334000,0.0,0.0
2015-02-18 00:00:00-05:00,5.365782753138041,5.375385705467559,5.300961107729532,5.3105645179748535,17094800,0.0,0.0
2015-02-19 00:00:00-05:00,5.377786193875212,5.387389603470245,5.300960748778045,5.3249688148498535,16943200,0.0,0.0
2015-02-20 00:00:00-05:00,5.320166013688306,5.365781284032904,5.2817532990557,5.363380432128906,15775200,0.0,0.0
2015-02-23 00:00:00-05:00,5.360981600256328,5.360981600256328,5.293759095361819,5.3201680183410645,12500800,0.0,0.0
2015-02-24 00:00:00-05:00,5.34065286124579,5.376803398132324,5.292451838944398,5.376803398132324,14935600,0.02125,0.0
